"","id","name","host_since","host_location","host_response_time","host_is_superhost","listing_count","neighbourhood","property_type","room_type","accommodates","bathrooms","bedrooms","amenities","price","cleaning_fee","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","reviews_per_month"
"21",2583074,"Cozy room in a charming villa.","2014-03-17","Boston, Massachusetts, United States","within a few hours","t",3,"Roslindale","Villa","Private room",1,2.5,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","$40.00","",2,1125,31,99,1.24
"22",13251243,"Arborside Guest Cottage","2016-05-28","Boston, Massachusetts, United States","within an hour","f",1,"Roslindale","House","Entire home/apt",3,1,0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$120.00","$50.00",2,6,16,98,5.93
"23",225834,"Skyline View to Boston","2011-09-18","Boston, Massachusetts, United States","within an hour","f",2,"Roslindale","Apartment","Private room",2,0,1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","$70.00","",1,365,38,98,0.63
"24",6400432,"Spacious 3 bedroom cape cod style","2014-10-29","Boston, Massachusetts, United States","within a day","f",1,"Roslindale","House","Entire home/apt",8,1,3,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Shampoo}","$150.00","$100.00",3,1125,21,88,1.58
"25",5498472,"4BD/3.5BA, Perfect for families!","2015-02-28","Boston, Massachusetts, United States","N/A","f",1,"Roslindale","House","Entire home/apt",5,3.5,4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}","$175.00","$100.00",14,1125,1,100,0.07
"26",894539,"Private room in house ","2013-01-19","Boston, Massachusetts, United States","within an hour","t",2,"Roslindale","House","Private room",2,1.5,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$95.00","$10.00",1,1125,40,96,1.13
"27",879929,"Surround yourself with custom art!","2013-01-10","Boston Massachusetts, Roslindale Neighborhood","within an hour","f",1,"Roslindale","Apartment","Private room",2,1,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","$90.00","",1,1125,43,95,1.06
"28",9218312,"Sunny bedroom with private bathroom","2015-11-01","Boston, Massachusetts, United States","within a few hours","t",1,"Roslindale","House","Private room",2,1,1,"{""Wireless Internet"",""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}","$95.00","$15.00",2,1125,33,99,4.02
"29",321328,"Bright Room Near Roslindale Village","2013-08-21","Boston, Massachusetts, United States","within a day","f",1,"Roslindale","Apartment","Private room",2,1,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly""}","$100.00","",1,30,11,90,0.21
"30",1810172,"Room for 2 in Rozzie - Full Bath","2013-09-14","Roslindale (part of Boston), MA","within an hour","t",2,"Roslindale","House","Private room",2,1,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}","$67.00","$40.00",1,1125,20,96,0.58
"31",6513924,"Private room in spacious condo!","2014-06-04","Boston, Massachusetts, United States","within a few hours","f",1,"Roslindale","Condominium","Private room",1,1,1,"{TV,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}","$55.00","",1,4,30,92,1.93
"32",7093109,"Adorable  Apt. 20 min from Downtown","2015-06-30","Boston, Massachusetts, United States","within an hour","f",1,"Roslindale","Apartment","Entire home/apt",6,1,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}","$200.00","$85.00",2,1125,2,100,0.38
"33",14690527,"1 Bedroom Home Suite Home","2015-02-27","Boston, Massachusetts, United States","N/A","f",1,"Roslindale","Apartment","Entire home/apt",4,1,1,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",""Hair Dryer"",Iron}","$150.00","",1,1125,0,NA,NA
"34",7086825,"Private Room near public transport","2015-05-30","Boston, Massachusetts, United States","within a day","t",3,"Roslindale","House","Private room",1,1,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}","$49.00","",5,1125,10,98,0.72
"35",1861070,"Charming Gambrel on a sweet street","2013-09-16","Boston, Massachusetts, United States","within a few hours","f",1,"Roslindale","House","Private room",1,1.5,1,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,Washer,Dryer}","$75.00","",1,1125,17,96,0.59
"36",4283698,"Private 1 bedroom w/ kitchenette","2011-01-02","Boston, Massachusetts, United States","within an hour","f",1,"Roslindale","House","Entire home/apt",4,1,1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Laptop Friendly Workspace""}","$110.00","$25.00",3,1125,55,87,2.36
"37",10116095,"Comfortable & Clean - Boston","2011-09-30","Boston, Massachusetts, United States","within a few hours","f",1,"Roslindale","Apartment","Private room",2,1,1,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}","$115.00","$35.00",1,1125,0,NA,NA
"38",8548176,"Charming 3 bedroom-15 min to Boston","2013-05-25","Milton, Massachusetts, United States","within an hour","f",3,"Roslindale","House","Entire home/apt",16,1,3,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$125.00","$50.00",1,1125,24,91,2.07
"39",4922204,"Charming new house-15 min to Boston","2013-05-25","Milton, Massachusetts, United States","within an hour","f",3,"Roslindale","House","Entire home/apt",16,2.5,3,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$200.00","$50.00",1,1125,82,95,4.32
"40",4085362,"""Room with a View""  from ""Top of the Hill""","2012-08-05","Boston, Massachusetts, United States","within a few hours","t",2,"Roslindale","House","Private room",2,2,1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$75.00","$10.00",1,1125,20,97,0.87
"41",3755609,"Lovely & Gracious Victorian room","2014-07-31","US","within a few hours","f",1,"Roslindale","House","Private room",1,1,1,"{""Family/Kid Friendly"",""translation missing: en.hosting_amenity_49""}","$78.00","$25.00",3,1125,21,95,0.87
"42",13768853,"Cozy, quiet room in Roslindale","2015-09-01","Upton, Massachusetts, United States","within a few hours","f",1,"Roslindale","Apartment","Private room",4,1,1,"{""Wireless Internet"",""Air Conditioning"",Kitchen,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""Lock on Bedroom Door"",Hangers,""Laptop Friendly Workspace""}","$50.00","$10.00",2,15,10,96,5.77
"43",1936861,"Private Room in Rozzie","2013-11-14","Boston, Massachusetts, United States","within a few hours","t",1,"Roslindale","Apartment","Private room",1,1,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}","$60.00","",1,1125,143,98,4.39
"44",4461111,"Queen room in a charming villa","2014-03-17","Boston, Massachusetts, United States","within a few hours","t",3,"Roslindale","House","Private room",1,1.5,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","$45.00","",2,1125,2,100,0.54
"45",1724900,"Charming sunlit house in Boston","2013-07-25","Boston, Massachusetts, United States","within a few hours","f",2,"Roslindale","House","Entire home/apt",4,1,2,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","$145.00","$56.00",5,1125,26,92,0.74
"46",13937181,"Guest Room in Cozy Home","2016-07-10","Boston, Massachusetts, United States","within an hour","f",1,"Roslindale","House","Private room",2,2,1,"{""Wireless Internet"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$45.00","",2,1125,5,96,3.13
"47",3968797,"Sunny bedroom in large quiet house","2013-01-19","Boston, Massachusetts, United States","within an hour","t",2,"Roslindale","House","Private room",2,1.5,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$85.00","$10.00",1,1125,29,97,1.67
"48",1494726,"Cozy in Rozzie!","2013-07-15","Boston, Massachusetts, United States","within a few hours","f",1,"Roslindale","House","Private room",1,1,1,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$75.00","$50.00",3,1125,9,93,0.37
"49",8473851,"Private Room in Single Family Home","2015-09-19","Boston, Massachusetts, United States","within a few hours","f",1,"Roslindale","House","Private room",2,2,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$50.00","",2,1125,14,99,1.23
"50",3575220,"The Artist room in beautiful villa.","2014-03-17","Boston, Massachusetts, United States","within a few hours","t",3,"Roslindale","House","Private room",1,2.5,1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}","$45.00","",2,1125,8,97,0.33
"51",1591827,"PrivRoom+Bath In Roslindale/Boston","2013-08-28","Boston, Massachusetts, United States","within an hour","f",1,"Roslindale","House","Private room",2,1,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}","$60.00","",2,5,117,92,3.22
"52",3229255,"1bd Boston apt - Convenient & quiet","2014-06-03","Boston, Massachusetts, United States","within a few hours","t",1,"Roslindale","Apartment","Entire home/apt",3,1,1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$95.00","$35.00",1,180,53,99,2.07
"53",1721016,"Quiet Sunlit Attic Studio","2013-07-25","Boston, Massachusetts, United States","within a few hours","f",2,"Roslindale","Apartment","Entire home/apt",2,1,0,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials}","$89.00","$45.00",3,1125,3,100,0.12
"54",12535687,"In-Law Apartment","2015-03-31","Boston, Massachusetts, United States","N/A","f",1,"Roslindale","Apartment","Entire home/apt",3,1,0,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}","$110.00","$25.00",2,1125,0,NA,NA
"55",12994227,"Cozy room near the arboretum","2013-09-02","Boston, Massachusetts, United States","within a few hours","f",1,"Roslindale","Condominium","Private room",2,1,1,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$65.00","$20.00",1,1125,0,NA,NA
"56",12927298,"Private House in Roslindale/Boston/Arboretum","2016-04-19","Boston, Massachusetts, United States","within an hour","f",1,"Roslindale","House","Entire home/apt",7,2,3,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers}","$285.00","$125.00",3,1125,2,80,1.15
"57",169938,"Gorgeous Boston Loft Style Condo!","2011-07-12","US","within a day","f",1,"Jamaica Plain","Apartment","Entire home/apt",4,1,1,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Washer / Dryer"",Heating,""Family/Kid Friendly"",Washer,Dryer}","$140.00","$125.00",3,730,1,NA,1
"58",594693,"Private room in peaceful space","2012-04-14","Boston, Massachusetts, United States","within an hour","f",2,"Jamaica Plain","Apartment","Private room",2,1,1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}","$70.00","$10.00",2,1125,23,93,0.46
"59",2384581,"Loft bedroom, sleeps 2","2014-02-09","Boston, Massachusetts, United States","within a day","f",2,"Jamaica Plain","House","Private room",2,1,1,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}","$95.00","",1,14,14,93,0.46
